Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
497,170,1,80,187,N,284,164
589,911,1,50,2825,N,12,672
315,982,1,11,1623,N,10,415
497,1153,1,80,2847,N,284,1268
244,553,1,15,1131,N,255,1268
263,417,1,80,2378,N,284,1278
497,1156,0,80,456,UNKNOWN,284,1063
497,417,1,80,3397,N,142,458
497,409,1,8,426,N,284,117
263,1217,1,30,661,UNKNOWN,280,872
46,1036,0,26,3305,N,185,1287
244,1153,1,6,1717,N,38,978
263,1409,1,3,2004,N,255,27
497,1153,3,80,1614,N,278,237
806,1045,1,8,670,Y,278,1392
763,1409,3,80,2906,N,284,1072
370,1190,3,80,2158,UNKNOWN,278,1064
158,1153,1,43,1405,N,90,1448
780,417,1,80,1475,N,278,117
763,281,1,80,2798,N,284,749
589,1045,1,8,670,Y,90,1153
283,441,1,80,1202,N,25,1268
806,1153,1,4,2178,N,284,1268
169,417,1,31,748,Y,284,1268
806,417,1,80,3402,N,284,1278
158,1409,3,80,3397,N,284,1278
263,1153,1,36,1504,N,124,246
315,1036,1,46,1513,N,136,117
497,1153,1,80,2218,N,20,1268
263,1153,1,9,2173,N,195,1268
315,1153,0,26,1634,N,82,1176
497,1153,1,11,1478,N,219,1268
315,1108,0,80,2692,N,64,1153
315,1108,1,80,2692,N,38,1268
158,192,0,80,2401,N,284,1268
315,1153,1,80,2843,N,87,192
497,1153,0,4,1671,N,20,74
682,1119,0,64,1677,N,284,696
263,164,0,80,1539,N,172,1268
806,735,1,80,1424,N,207,1268
263,1153,1,20,1131,N,90,587
263,417,0,32,3601,N,255,1268
263,1153,1,6,1131,N,82,587
158,735,1,80,2435,N,147,1323
158,736,1,80,2435,N,90,1278
158,1153,1,19,1662,N,208,524
806,1153,1,14,1814,N,82,257
263,1153,1,80,2209,N,90,1268
463,362,0,28,3645,N,284,587
158,1153,1,80,228,UNKNOWN,228,872
497,1190,1,43,670,Y,79,508
55,418,1,35,2004,N,124,667
438,736,0,80,2723,N,219,1304
263,417,1,45,451,N,240,360
177,871,1,7,1747,N,284,1268
263,160,0,4,1406,N,197,1108
263,1153,1,8,1775,N,284,1109
263,1409,3,80,3411,UNKNOWN,191,1063
436,417,1,25,1639,N,284,1268
58,1190,0,80,2281,N,284,1533
508,1153,1,20,1504,N,284,421
682,1109,0,80,1289,N,163,1268
263,456,1,80,1641,N,284,705
508,744,3,80,1500,N,284,415
806,1045,1,23,1631,N,284,1516
263,1109,1,80,3009,N,85,7
263,1409,1,17,3005,N,284,1268
763,1045,1,80,3047,N,284,715
263,1190,0,1,3046,N,136,1268
401,1190,1,64,2277,N,255,6
682,173,1,1,1758,N,147,423
263,1190,0,37,1590,N,284,1268
263,1153,1,80,1131,N,284,1268
263,173,1,73,1462,N,124,1268
808,1153,1,11,2120,N,147,1278
763,971,1,80,3412,UNKNOWN,284,1063
508,1190,1,80,1865,N,284,963
628,1153,1,44,1770,N,163,179
263,1109,1,73,1755,N,261,1268
163,1423,3,80,2184,N,284,570
315,1190,1,55,1677,N,215,496
263,1190,1,31,3030,N,154,415
799,981,1,57,2302,UNKNOWN,280,1063
508,160,1,80,1648,N,284,1268
263,1153,1,5,1635,N,147,1268
158,1190,1,80,2936,N,56,18
158,1153,1,80,2837,N,284,1268
682,160,1,10,3193,N,284,419
763,1393,1,40,1303,N,284,910
46,1045,1,34,2382,N,124,726
681,1153,1,80,2842,N,202,1268
681,155,1,6,1662,N,201,1268
806,847,1,80,1753,N,284,10
763,417,1,35,3319,N,284,1268
224,1109,1,7,256,N,201,12
681,155,1,31,2228,N,60,634
85,1153,1,35,1819,N,255,1268
741,749,0,5,3366,N,255,1268
263,1190,0,13,1542,N,136,667
497,1153,1,80,1559,N,278,1268
563,1336,0,29,1504,N,284,578
589,373,0,20,1708,N,284,4
795,939,1,80,1699,N,278,402
497,1342,1,1,599,N,284,14
263,155,0,30,546,N,90,1268
681,1153,1,27,2639,N,56,22
263,1423,0,36,1576,N,82,1268
277,1153,1,3,3050,N,284,1063
263,274,1,80,2872,UNKNOWN,284,872
682,1190,0,32,1677,N,163,419
808,274,3,80,179,N,284,737
263,1153,1,14,1537,N,163,354
806,1045,1,80,2184,N,284,1519
263,1190,2,34,1450,N,172,1268
263,1423,1,16,2275,N,63,1268
763,988,3,80,2495,N,284,1278
244,417,1,80,1705,N,278,11
263,1153,1,80,2295,N,143,1268
263,1153,1,80,1635,N,136,1268
497,1190,0,57,670,Y,42,348
806,297,1,30,3390,UNKNOWN,136,1070
244,1190,1,60,670,Y,163,237
263,743,1,80,1683,N,284,419
263,1153,1,79,1788,N,284,1268
91,743,1,34,1622,N,218,1268
780,1153,1,34,3433,N,278,1268
497,1409,0,1,1396,UNKNOWN,201,872
497,1190,1,80,2269,N,219,1468
763,950,1,80,568,UNKNOWN,284,801
263,1153,1,12,1787,N,284,581
676,748,1,12,1718,N,185,583
763,927,1,12,2477,N,280,1268
681,1055,1,19,670,Y,103,1268
754,417,1,80,2955,N,284,1268
689,1153,1,19,1701,N,242,515
497,417,1,80,1773,N,284,220
689,1045,1,15,2214,N,284,514
550,971,1,23,182,N,284,1268
315,588,1,80,28,N,284,910
763,412,3,80,2522,N,284,1438
515,1036,1,29,2004,N,82,1009
808,1153,1,10,1381,N,46,1382
43,96,1,27,3319,N,284,1268
315,173,1,20,1750,N,38,1173
263,1153,1,22,3157,N,154,421
497,1153,1,17,3033,N,223,19
315,738,1,50,670,Y,51,1268
497,155,1,10,670,Y,147,1223
315,1036,0,51,3140,N,124,1268
806,1153,1,27,670,Y,51,1147
553,1153,1,16,2611,N,74,1297
806,1153,1,80,2616,N,163,1011
763,982,1,71,1364,N,82,1268
491,155,1,7,2851,N,255,1268
263,1153,1,80,1131,N,284,1268
315,747,1,38,3304,N,169,1153
806,1036,0,54,1732,N,255,586
825,155,1,15,3228,N,195,1139
806,296,1,80,2854,N,81,1007
497,1153,1,33,1389,N,223,1468
315,275,1,37,154,N,181,1465
315,1153,1,16,2740,N,82,1153
263,1423,1,53,429,N,269,908
244,1207,1,69,670,Y,90,1278
806,288,1,48,1394,N,74,1278
158,1153,1,37,1546,N,46,1448
263,1423,1,3,1595,N,172,1098
263,1153,1,43,1644,N,64,1268
700,274,1,18,1226,N,90,1268
263,1109,1,64,1454,N,74,1268
263,1190,1,37,1739,N,124,1268
263,1153,1,80,1682,N,278,1268
263,1190,1,12,1739,N,172,667
263,1153,0,4,1289,N,124,354
682,1409,0,80,2361,UNKNOWN,284,1268
263,1153,1,35,1140,N,185,354
263,1109,1,16,2242,N,185,354
263,1190,1,8,3480,N,124,1268
263,1409,1,21,328,N,284,877
763,1409,1,80,2034,N,284,1268
263,198,1,79,1670,N,103,415
763,1045,1,80,2093,N,284,587
158,1190,1,80,1131,N,248,1038
158,781,0,39,3000,UNKNOWN,284,872
107,768,1,43,1526,N,242,865
263,173,0,2,2214,N,201,1268
497,1486,1,80,1683,N,163,1268
315,1153,1,7,1621,N,124,1268
158,1153,0,80,2754,N,116,1278
315,1036,0,11,670,Y,195,1256
315,747,0,10,2372,N,146,1268
682,1153,1,1,2712,N,208,714
763,89,1,80,3698,N,284,587
263,417,1,8,2200,N,163,712
315,1036,0,49,1653,N,46,1268
682,1190,1,24,1131,N,284,1268
46,1045,1,32,2004,N,186,491
592,1423,0,80,1297,N,82,1268
315,1153,1,9,2108,N,148,1245
258,209,1,58,431,N,198,877
46,274,1,43,440,N,87,1268
570,1190,0,9,670,Y,131,1268
55,1446,0,43,1571,N,154,1268
263,1191,1,80,162,N,284,1268
630,1192,0,6,670,Y,149,1268
763,1190,1,25,670,Y,284,1268
508,1423,0,57,3157,N,170,1268
177,1190,1,40,3289,UNKNOWN,284,1063
780,160,1,20,2661,N,284,1268
729,417,1,80,3271,N,284,1268
365,1409,1,11,2981,UNKNOWN,284,1070
158,738,1,80,2670,N,172,1278
263,1190,1,80,1677,N,284,942
682,1190,1,5,439,N,117,419
315,1190,1,19,3266,N,120,1182
741,1190,1,6,1927,N,159,1268
244,1153,1,80,1662,N,278,1268
263,1153,0,80,1665,N,284,1268
682,172,0,1,2990,N,255,419
263,456,1,51,1898,N,284,824
497,1153,1,80,2617,N,185,491
315,274,1,24,1747,N,284,747
263,1190,1,2,3157,N,255,1268
570,1409,1,33,670,Y,284,1268
763,417,1,22,3689,N,263,1268
649,1153,1,20,3554,N,103,747
158,1153,1,34,3392,UNKNOWN,284,801
625,155,1,28,670,Y,42,667
263,1153,1,7,1680,N,87,1507
497,417,1,80,1137,N,284,1489
592,1190,0,26,377,N,140,1153
497,417,1,44,3008,N,147,766
263,863,1,79,1739,N,74,354
808,579,1,80,23,N,284,609
263,1153,1,12,2283,N,136,667
763,1409,1,32,670,Y,284,1268
757,744,1,46,3696,N,103,944
263,1190,1,43,1644,N,284,1268
806,1409,1,15,642,UNKNOWN,284,1525
315,1153,1,51,3271,N,43,415
497,1153,1,39,2336,UNKNOWN,284,872
763,579,1,26,1677,N,284,1268
763,1036,0,80,3660,N,284,877
250,576,1,43,1865,N,284,1268
808,428,1,22,1675,N,51,979
808,1153,1,80,2843,N,284,1268
711,1045,1,62,670,Y,51,1236
806,1045,1,19,1504,N,51,648
562,1300,1,80,2288,N,284,56
244,1190,1,31,1367,N,284,1268
512,1190,1,38,670,Y,133,1415
315,1153,3,80,1756,N,219,1519
315,1153,1,80,2730,N,219,1519
263,1153,1,7,1747,N,147,598
676,939,1,40,1735,N,284,809
365,1409,1,9,1429,N,284,1268
780,417,1,80,2496,N,284,1435
589,1153,1,80,1725,N,284,1268
589,341,1,56,2607,UNKNOWN,284,1268
315,1153,1,35,1882,N,195,1184
441,1045,1,80,2155,N,284,655
806,1055,1,17,542,N,64,1268
263,1190,1,80,2113,N,147,1268
497,1153,1,14,2648,N,117,292
497,825,1,20,1781,N,79,694
244,1190,1,11,670,Y,284,1153
806,1153,1,24,2368,N,251,1240
315,1153,1,54,1677,N,131,184
497,1045,1,23,2293,N,198,1044
689,939,0,16,2767,N,284,1051
315,1036,1,55,1779,N,59,1170
589,1409,1,11,1400,UNKNOWN,160,872
672,1190,1,24,670,Y,92,292
263,1153,1,5,2276,N,208,255
315,274,1,22,3241,N,43,1184
315,1153,1,35,2843,N,40,1243
158,1153,1,16,2325,N,103,1278
315,1190,0,44,3052,N,182,1174
158,1153,1,31,670,Y,82,1315
263,1409,0,27,1845,N,284,1268
263,1153,1,15,2150,N,74,1268
315,825,1,48,2611,N,32,496
263,1409,1,80,1550,UNKNOWN,201,1063
225,110,0,30,1541,N,284,1268
158,1479,1,34,2366,N,226,1268
806,169,1,2,2640,N,103,324
263,1153,1,12,1683,N,195,464
263,1153,1,13,1865,N,255,415
263,1153,1,45,1131,N,163,1268
