Area,Activity,Sex ,Age,Injury,Fatal(Y/N),Time,Species 
Florida,Surfing,M,21,Non_Fatal,N,Afternoon,Bull shark
Tuamotus,Kite boarding,M,53,Non_Fatal,N,Afternoon,Possibly a blacktip reef shark
Hawaii,Surfing,M,58,Non_Fatal,N,Morning,4' shark
Western Cape Province,Fishing - 'tag & release',M,30,Non_Fatal,N,Morning,"Raggedtooth shark, 1.5 m"
St. Catherine,Spearfishing,M,68,FATAL,Y,Morning,"Tiger shark, 4.8 m"
Western Australia,Spearfishing,M,28,Non_Fatal,N,Morning,"Bronze whaler shark, 2.5m"
North Island,Swimming,M,46,FATAL,Y,Afternoon,"White shark, 4m"
Florida,Surfing,M,16,Non_Fatal,N,Afternoon,"Blacktip shark, 4' to 5'"
Society Islands,Scuba diving,M,48,Non_Fatal,N,Morning,Lemon shark
Hawaii,Surfing,M,43,Non_Fatal,N,Afternoon,"Tiger shark, 15'"
New South Wales,Surfing,M,23,Non_Fatal,N,Afternoon,2.5 m shark
New South Wales,Paddle boarding,M,29,Non_Fatal,N,Morning,"Bull shark, 2m "
Western Australia,Surfing,M,32,Non_Fatal,N,Morning,"Tiger shark, 6'"
Hawaii,Surfing,M,60,Non_Fatal,N,Afternoon,10' shark
New South Wales,Spearfishing,M,31,Non_Fatal,N,Afternoon,Sandtiger shark
Hawaii,Snorkeling,M,61,Non_Fatal,N,Morning,"Tiger shark, 10'"
Sinaloa,Swimming,M,32,FATAL,Y,Morning,2.5 m shark
Florida,Surfing,M,14,Non_Fatal,N,Evening,2' to 3' shark
Hawaii,Diving,M,30,Non_Fatal,N,Morning,"Tiger shark, 15'"
Hawaii,Surfing,M,43,Non_Fatal,N,Morning,"Tiger shark, 8'"
California,Surfing,M,25,Non_Fatal,N,Afternoon,White shark
Hawaii,Swimming,F,51,Non_Fatal,N,Afternoon,"Tiger shark, 10' to 12' "
California,Surfing,M,39,FATAL,Y,Morning,"White shark, 15' to 16' "
Hawaii,Paddle boarding,M,55,Non_Fatal,N,Morning,6' to 8' shark
Western Australia,Bodyboarding,M,11,Non_Fatal,N,Afternoon,2m shark
Florida,Surfing,M,21,Non_Fatal,N,Afternoon,5' shark
Florida,Surfing,M,22,Non_Fatal,N,Afternoon,4' shark
Florida,Boogie boarding,F,8,Non_Fatal,N,Evening,3.5' to 4' shark
Florida,Swimming or boogie boarding,F,56,Non_Fatal,N,Afternoon,3.5' to 4' shark
Florida,Free diving ,M,56,Non_Fatal,N,Afternoon,"Lemon shark, 4' to 5' "
Saint Leu,Surfing,M,39,Non_Fatal,N,Evening,Bull shark
South Australia,Surfing,M,48,Non_Fatal,N,Afternoon,White shark or bronze whaler
Massachusetts,Body surfing,M,50,Non_Fatal,N,Afternoon,Thought to involve a white shark
Western Australia,Surfing,M,24,FATAL,Y,Morning,"White shark, 5m"
California,Kayaking,M,52,Non_Fatal,N,Morning,14' to 18'shark
Western Cape Province,Surfing,M,29,Non_Fatal,N,Afternoon,15' shark
Florida,Swimming,M,6,Non_Fatal,N,Evening,possibly a bull shark
Hawaii,Sitting in the water,F,16,Non_Fatal,N,Morning,a small reef shark
Western Australia,Surf skiing ,M,62,Non_Fatal,N,Morning,3 m shark
Florida,Fishing,M,23,Non_Fatal,N,Afternoon,Nurse shark
